1426085061.000000, 1426085061.000000, 1426085061.000000
32.000000, 32.000000, 32.000000
-16,-62,29
-15,-61,28
-16,-60,28
-15,-60,27
-16,-58,26
-17,-57,25
-17,-56,25
-17,-55,26
-17,-55,25
-18,-55,25
-18,-54,26
-18,-54,27
-18,-54,27
-17,-54,27
-17,-54,27
-18,-54,28
-18,-54,29
-18,-54,28
-18,-54,28
-18,-54,29
-18,-53,29
-18,-54,29
-18,-53,28
-19,-53,28
-19,-53,29
-19,-54,28
-18,-53,28
-18,-53,28
-19,-53,28
-19,-53,28
-19,-54,28
-19,-54,27
-19,-54,27
-20,-54,27
-19,-54,27
-19,-54,27
-19,-53,27
-20,-53,28
-19,-53,27
-20,-54,27
-20,-54,27
-19,-54,27
-20,-54,27
-19,-55,27
-19,-54,27
-20,-54,27
-19,-54,27
-20,-54,27
-20,-54,27
-20,-54,27
-20,-53,27
-20,-53,28
-20,-54,27
-20,-53,27
-19,-53,27
-19,-54,27
-19,-54,28
-20,-54,28
-20,-54,28
-20,-54,28
-20,-54,28
-20,-54,27
-21,-53,26
-21,-52,26
-20,-52,27
-20,-52,27
-20,-51,27
-19,-52,27
-20,-52,28
-19,-51,29
-18,-52,29
-17,-53,28
-16,-54,29
-16,-55,29
-16,-56,28
-16,-56,27
-15,-57,27
-15,-57,26
-15,-58,23
-16,-55,24
-16,-53,25
-15,-51,24
-14,-52,22
-11,-55,22
-15,-53,23
-10,-63,26
-11,-71,17
-13,-76,16
-15,-82,13
-21,-81,9
-19,-83,-2
-20,-87,-8
-27,-80,-14
-30,-69,-8
-32,-63,-5
-31,-53,-4
-30,-45,1
-30,-34,14
-30,-32,19
-33,-21,26
-37,-16,36
-37,-17,37
-40,-17,36
-43,-14,39
-47,-15,42
-48,-14,40
-51,-13,40
-50,-12,40
-51,-13,36
-51,-14,33
-50,-17,36
-49,-13,38
-51,-7,35
-51,-10,39
-49,-12,41
-50,-8,39
-50,-4,40
-50,-6,39
-52,-3,36
-52,1,37
-50,2,39
-46,10,36
-44,13,35
-47,10,34
-52,5,34
-57,-3,31
-57,-14,30
-56,-18,30
-58,-29,30
-58,-31,26
-64,-39,26
-68,-48,29
-62,-32,28
-56,-22,26
-48,-18,27
-48,-15,27
-50,-12,29
-56,-5,29
-60,-6,26
-59,-8,30
-57,-5,31
-52,-7,33
-52,-13,32
-49,-13,33
-46,-16,35
-47,-17,33
-51,-23,32
-56,-21,35
-57,-17,35
-56,-14,31
-55,-14,29
-54,-12,33
-52,-8,34
-52,-6,32
-53,-8,32
-54,-8,32
-54,-7,34
